PolicyInsuredPropertyAge,PolicyInsuredPropertyRoofAge,Avg. Corrected Incurred Indemnity
47,3,26603.9
47,2,11583.966
48,26,53342.085
48,25,0
48,23,28389.09
48,21,10487.8
48,20,15890.508333333
48,19,4947.61
48,18,1286.11
48,17,166188.363333333
48,15,42469.735
48,14,25544.758
48,13,1176.75
48,12,11125.425
48,10,14708.046666667
48,9,299.41
48,8,50870.93
48,7,8964.52
48,6,100
48,5,5000
48,4,27537.5
48,2,0
48,1,60705.345
49,29,43978.83
49,25,22843.48
49,24,28026.87
49,21,2734.07
49,19,24992.234285714
49,17,9331
49,15,31060.09
49,14,7463.7175
49,12,14984.83
49,11,0
49,10,8000
49,9,0
49,8,20983.545
49,7,7761.63
49,6,4357.47
49,5,1667.28
49,4,0
49,2,0
49,1,9662.09
50,34,53000
50,28,0
50,26,0
50,25,0
50,21,6618.96
50,20,0
50,19,1841.29
50,17,5772.66
50,16,2271.1075
50,15,2504.5
50,14,6071.03375
50,13,37183.455
50,11,16097.77
50,10,0
50,9,5000
50,8,0
50,7,500
50,5,0
50,3,0
50,2,39617.68
51,31,33371.99
51,25,7364.235
51,22,47821.93
51,21,0
51,20,16409.623333333
51,19,28425.575
51,18,3506.8275
51,16,727.96
51,15,4539.01
51,14,13011.92
51,13,5971.161666667
51,11,87.5
51,9,10957.8275
51,8,0
51,6,11416.583333333
51,5,279.8
51,3,5000
51,2,3446.016666667
52,22,21843.05
52,21,664.87
52,18,381.56
52,17,0
52,16,62560.795
52,14,71082.31
52,13,12673.36
52,12,25632.555
52,11,12341.855
52,10,10009
52,9,6396.913333333
52,8,0
52,7,4799.53
52,6,5000
52,4,6669.666666667
52,2,5004.5
52,1,10000
53,28,44267.88
53,25,51052.635
53,24,0
53,22,6940.023333333
53,21,571.65
53,20,8333.333333333
53,19,0
53,18,4556.61
53,17,3955.58
53,16,8328.88
53,15,4982.43
53,14,8754.5
53,13,2465.785
53,11,0
53,10,0
53,8,130824.71
53,7,939.29
53,5,13775.65
53,4,23552.73
53,2,757.68
54,23,4687.21
54,22,0
54,21,13434.91
54,20,19596.865
54,16,0
54,15,34204.27
54,14,22680.0425
54,13,559.438
54,12,3432.0275
54,11,0
54,10,1326.03
54,9,24986.97
54,8,85571.815
54,7,2519.495
54,5,22932.2075
54,4,14842.67
54,3,10000
54,2,21953.65
54,1,10009
55,24,30042.34
55,22,0
55,18,5445.58
55,17,38163.643333333
55,15,425.143333333
55,14,212.79
55,13,17500.63
55,12,7155.903333333
55,11,0
55,9,5009
55,8,171446.47
55,5,5000
55,4,10000
55,3,1035.535
55,2,7751.83
55,1,8539.07
56,24,22891.52
56,22,22359.93
56,21,18000
56,20,51140.84
56,19,0
56,17,9378.72
56,16,17758.46
56,15,8982.61
56,14,19514.682
56,13,17571.06
56,12,0
56,11,0
56,10,82.27
56,9,17602.12
56,8,92629.8225
56,5,31637.895
56,4,4838.095
56,1,0
57,30,64934.19
57,28,21012.17
57,26,15197.43
57,20,26817.96
57,19,0
57,18,5665.43
57,15,451.484
57,14,4586.151111111
57,13,7692.753333333
57,12,6839.783333333
57,11,0
57,10,954.832
57,9,3318.86
57,8,8006.973333333
57,7,5000
57,5,0
57,4,5803.09
57,3,4816.09
57,2,3827.95
57,0,0
58,30,0
58,25,7452.53
58,22,19933.34
58,21,0
58,20,5212.113333333
58,19,57785.04
58,18,5005.195
58,17,4807.9
58,16,10538.49
58,15,69242.946
58,14,29307.7
58,13,6530.632
58,12,12995.8675
58,11,3472.0325
58,10,3333.333333333
58,7,0
58,4,6930.863333333
58,3,2100
58,2,5509
59,29,18400
59,28,2005.64
59,25,15421.56
59,23,5647.125
59,22,15342.705
59,21,3301.123333333
59,20,75000
59,18,39242.12
59,16,0
59,15,3696.94
59,14,7631.77
59,13,9645.812
59,12,2502.25
59,11,2589.8
59,10,468.78
59,9,5509
59,8,25611.04
59,6,0
59,5,6325.868
59,3,3617.006666667
59,2,3594.66
59,1,7925
60,26,39282.15
60,23,4285.15
60,20,3581.91
60,19,11222.526666667
60,18,34050.675
60,17,335.545
60,16,0
60,14,10194.285714286
60,13,20996.458
60,12,1159.173333333
60,11,2072.57
60,10,10791.13
60,9,4777.705
60,8,51786.3
60,7,5000
60,6,0
60,5,0
60,4,2096.66
60,3,0
60,2,0
60,1,5000
60,0,17520.12
61,27,16598.02
61,26,52.4
61,25,43376.776666667
61,24,17270.156666667
61,23,0
61,21,7557.46
61,19,20593.08
61,18,20172.18
61,17,0
61,16,15194.653333333
61,15,5535.586
61,14,7209.093333333
61,13,19698.701111111
61,12,0
61,11,150
61,10,1622.935
61,9,15976.21
61,7,5377.118333333
61,4,2000
61,3,0
62,28,40826.39
62,27,7280
62,26,0
62,25,0
62,24,0
62,22,0
62,20,10265.82
62,19,892
62,17,2302.523333333
62,16,0
62,15,6943.393333333
62,14,31686.874285714
62,13,4011.255
62,12,13160.156666667
62,11,7693.56
62,9,6891.61
62,8,7913.065
62,7,0
62,4,2300
62,3,2515.646666667
62,2,7997.343333333
62,1,10000
62,0,4691.06
63,29,0
63,26,10000
63,25,0
63,23,598.96
63,21,23933.516666667
63,20,2630.66
63,19,33344.41
63,18,34333.333333333
63,17,5000
63,16,713.11
63,15,4072.46
63,14,3734.2025
63,13,10289.61
63,11,10978.82
63,10,1446.246666667
63,9,7500
63,8,9663.95
63,5,21545.925
63,4,3331.755
63,3,0
63,2,3000
64,45,0
64,28,0
64,25,3408.08
64,21,672.99
64,20,1222.12
64,19,3743.625
64,17,0
64,16,9003.9525
64,15,0
64,14,3372.321666667
